Municipio;Taxa de Incidencia de Tuberculose ;Taxa de mortalidade ;Taxa de incidencia tuberculose bacilífera ;Casos Brancos;Casos Amarelos;Casos Ignorado;Casos Indigena;Cassos Parda;Casos Negros;Óbitos Brancos;Óbitos Amarelos;Óbitos Ignorado;Óbitos Indigena;Óbitos Parda;Óbitos Negros;(%) Casos Bacilíferos Curados ;(%) Casos de Retratamento que Realizaram cultura (*) ;(%) Casos com teste HIV realizado ;Acesso a Saúde Básica (PSF);% Renda Percapta 1/2 Salário Minimo [2010];(%) Taxa de escolarização de 6 a 14 anos de idade (2010);IDH-M(2010); Esgotamento Sanitário Adequado [2010];Média de Moradores em Domicílios Particulares Ocupados [2010];GINI [2010];;;;
112;26,96363636;14,12;25,05375;50;;;65,55666667;72,96222222;;;;;100;;;83,33333333;;82,38;99,59928571;54,6;97,8;0,529;0,232;0,0372;0,5192;;;;
113;25,77266667;8,028333333;15,23533333;36,48111111;25;27,145;;75,40785714;;37,5;;100;;85;;64,61461538;66,66666667;55,99583333;99,72642857;52,8;98,7;0,548;0,016;0,0334;0,4766;;;;
114;76,666;;;;88,88833333;61,11;;;;;;;;;;86,11;;70,8325;99,62142857;50,3;97,3;0,608;0,165;0,0352;0,5174;;;;
115;18,50076923;8,215;15,25727273;58,3325;45,835;;;75;37,5;;;;;100;;85;100;48,61;99,60714286;47,3;98,5;0,567;0,301;"3,42  
";0,4654;;;;
116;;;;75;100;;100;71,42857143;66,66666667;;;;;;;75;;76,18857143;96,51785714;51,7;98;0,536;0,041;0,0376;0,501;;;;
117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;56,8725;39;64,21333333;100;;100;;100;;100;;;;;;100;;100;99,66357143;47,5;94,4;0,565;0,553;0,0375;0,4691;;;;
119;31,26;16,83;23,11;100,00;100,00;;;91,67;50,00;;;;;;;100,00;;87,50;99,58;54,8;98,4;0,572;21,00%;3,54%;0,5226;;;;
120;17,14923077;7,67;13,62444444;72,5;;;;77,5;;100;;;;100;;90,47571429;100;64,16666667;99,72642857;54,3;98,6;0,574;0,058;"3,45  
";0,504;;;;
121;32,69;18,68;25,215;75;;;;62,5;50;;;;;;;100;;70;99,46857143;48,6;97;0,59;0,366;0,0344;0,4751;;;;
122;;;;100;;;;100;;;;;;;;100;;100;98,37307692;52,9;98,5;0,587;0,489;"3,44  
";0,5487;;;;
123;11,64666667;4,28;5,56;61,833;23,33333333;20;;70,15181818;20;75;;;;83,33333333;;92,85714286;;41,87375;94,97428571;47,5;97,5;0,628;0,561;"3,15  
";0,5788;;;;
124;18,854;10,315;14,15375;93,334;;;;100;33,33;100;;;;;;87,5;;73,88833333;100;50,9;98,2;0,565;0,064;0,0344;0,4982;;;;
125;15,9325;9,54;13,00333333;66,665;;;;90,47714286;33,33;;;;;100;;100;;77,77666667;99,62142857;56,6;99,3;0,541;0,157;"3,71  
";0,5442;;;;
126;;;;80;;;;58,33333333;25;;;;;;;66,66666667;;62,5;99,135;55,6;96,5;0,562;0,186;"3,45  
";0,5196;;;;
127;19,71222222;9,935;14,77875;100;;;;80;50;;;;;100;;70;;50;95,30571429;51,6;96,7;0,601;0,022;"3,32  
";0,5212;;;;
128;38,40363636;15,49;27,75;75;100;;;87,03666667;33,335;100;;;;;;92,59111111;;69,44333333;99,95071429;53,5;97,4;0,573;0,249;"3,60  
";0,5274;;;;
129;;;;100;;;;100;;100;;;;;;;;;99,50285714;49,8;99,1;0,595;0,611;0,0332;0,4587;;;;
130;;;;75;;;;100;75;;;;;;;100;100;50;97,92428571;56,9;98;0,572;0,407;"3,70  
";0,5557;;;;
131;;;;100;;;;75;50;;;;;;;;;;98,58642857;54,6;98,8;0,603;0,872;"3,42  
";0,509;;;;
132;;;;;100;;;100;;;;;;;;100;;;99,72714286;48,7;92,3;0,614;0,023;0,0311;0,483;;;;
133;;;;100;;;;100;;;;;;;;100;;100;100,0592308;48,2;99,5;0,584;0,539;0,0312;0,4991;;;;
134;;;;100;;;;;100;;;;;;;100;;;99,72428571;48,5;97,7;0,62;0,56;0,0331;0,5123;;;;
135;34,01933333;2,088461538;20,90866667;40,15133333;2,44;3,45;2,94;48,50466667;12,40846154;56,25;;;;82,14285714;100;78,92571429;14,28;28,25714286;88,59428571;41,7;97,8;0,701;0,855;0,0347;0,563;;;;
136;29,2375;8,405;30,395;56,66666667;;;;88,33333333;100;;;;;100;100;74,998;100;59,58333333;98,51428571;51,2;96;0,587;0,336;"3,55  
";0,4969;;;;
137;52,762;26,51;79,405;;;;;95;25;100;;;;;;100;;;96,886;54,9;97,9;0,599;0,662;"3,74  
";0,5077;;;;
138;22,16;15,125;14,082;75;;;;91,66666667;100;;;;100;;;100;;80;99,54214286;50;98,8;0,574;0,395;"3,32  
";0,4945;;;;
139;23,42642857;3,765;17,32;38,01125;;;;68,54384615;25,605;;;;;100;;90,21;;36,43090909;98,27357143;51,9;96,8;0,59;0,269;0,0365;0,5399;;;;
140;;;;25;;;;93,75;;;;;;;;83,33333333;;75;99,74285714;52,5;99,1;0,542;0,017;0,0334;0,5268;;;;
141;30,36785714;9,286666667;15,75545455;50,119;40;;;61,75846154;18,65333333;100;;;;100;;98,48454545;;35,66;99,69;50,9;97,4;0,621;0,479;0,0333;0,5427;;;;
142;19,34166667;10,825;21,00333333;69,524;;33,33;100;88,43571429;66,67;66,67;;;;66,665;;80,20625;50;41,902;94,81;49,7;97,7;0,608;0,608;0,0335;0,5281;;;;
143;38,7575;10,958;21,98727273;32,07428571;;;;71,105;40,74;83,33333333;;;50;;100;81,333;;73,98090909;99,725;53,7;97,2;0,579;0,167;0,0352;0,4997;;;;
144;;;;66,665;100;;;94,445;;;;;;;;66,66666667;;81,94333333;95,77357143;52;97,5;0,56;0,096;"4,04
";0,5897;;;;
145;38,95928571;18,47;23,24;56,666;;16,67;;80,55555556;68,75;;;;;100;;91,66625;;62,5;99,93571429;52,7;96;0,564;0,382;0,036;0,4416;;;;
146;23,35066667;9,685;16,78454545;50;50;33,33;;83,33357143;;100;;;;;;80;100;71,666;99,75285714;51,6;96,6;0,595;0,479;"3,51  
";0,5303;;;;
147;35,37357143;5,812857143;20,40857143;24,554;;;;79,64357143;32,444;;;;;100;100;51,832;58,332;56,8;99,70928571;52,4;97,3;0,57;0,171;0,0359;0,5106;;;;
148;14,41818182;5,94;11,65454545;61,04125;;25;;50,41625;41,665;100;;;;100;;95,45454545;;36,25;99,57357143;48,2;98,2;0,591;0,375;0,0356;0,4651;;;;
149;36,24428571;26,69;25,99333333;100;50;;;87,5;;;;;100;;;100;;75;99,38642857;54,9;98,4;0,525;0,137;0,0378;0,4921;;;;
150;;;;100;;;;100;;;;;;;;100;;100;98,54769231;48,4;98,5;0,612;0,342;"3,35  
";0,4605;;;;
151;23,40466667;5,151666667;19,48533333;57,48090909;9,09;67,7075;25;32,61916667;17,84;77,77666667;;;;58,3325;77,78;86,41928571;50;66,72727273;81,99857143;47,5;95,4;0,634;0,608;0,0345;0,537;;;;
152;;;;100;;;;100;100;;;;;;;100;;100;99,56571429;46,8;98,9;0,608;0,014;"3,33  
";0,4389;;;;
153;22,33714286;5,146;16,88384615;57,952;14,29;66,67;;56,83583333;19,16666667;100;;;;100;;80,31;61,11;46,3675;99,13071429;46,9;95,7;0,606;0,571;0,0352;0,4803;;;;
154;11,715;8,226666667;12,596;100;;;;100;100;100;;;;100;;108,3325;;75;99,70142857;46,4;98,4;0,617;0,761;0,0351;0,4575;;;;
155;15,14133333;4,027142857;9,03;54,54071429;;21,665;;53,45166667;12,9175;80;;;;80;;74,8;;61,08111111;99,73642857;46,7;96,6;0,608;0,465;0,0342;0,4687;;;;
156;;;;100;;;;100;;;;;;;;100;;;99,18214286;51,9;99;0,622;0,345;0,0387;0,4638;;;;
157;14,115;9,02;10,12615385;70;;;;74,24272727;58,3325;100;;;;100;;81,81818182;;70;90,45071429;47,6;97,1;0,607;0,525;0,0351;0,5586;;;;
158;54,2;28,61;42,71;100;;;;100;;;;;100;;;83,33333333;50;100;99,35857143;55,1;98,8;0,574;0,244;0,0351;0,5183;;;;
159;;;;70;50;;;86,11166667;61,11;;;;;;;100;;75;99,69285714;47,9;96,9;0,553;0,203;0,0333;0,5016;;;;
160;45,17916667;22,72;30,27727273;75;;;;83,33333333;;;;;;100;;91,665;;88,09428571;99,83642857;51,7;97,4;0,555;0,193;0,0355;0,4975;;;;
161;;;;;;;;75;50;;;;;;;;;;99,44714286;46,6;98;0,594;0,382;"3,59  
";0,4377;;;;
162;21,183;12,47;16,9;83,334;;;;76,666;;;;;;100;100;93,332;;66,665;97,19928571;54,9;97,1;0,568;0,515;0,0373;0,4431;;;;
163;62,076;24,152;100;;;;100;;68,31384615;75;55,966;97,95357143;49,8;97,6;0,585;0,266;0,0346;0,5092;;0;0;0;0;0;0;;;;
164;;;;;;;;100;100;;;;;;;;;;98,09428571;50,3;97,6;0,563;0,159;"3,66  
";0,4661;;;;
165;16,97466667;12,5125;12,58538462;29,54466667;1,374;3,444;0,387692308;58,72666667;8,871333333;28,45428571;1,336666667;5,2625;1,383333333;62,69714286;6,762857143;67,92866667;18,70266667;40,316;97,06;53,3;97,3;0,568;0,034;0,0337;0,512;;;;
166;21,1;13,86;14,898;66,665;;;;94,445;;100;;;;;;100;;72,22;99,85428571;53,6;98,5;0,525;0,055;0,0367;0,4846;;;;
167;27,7;15,512;23,38166667;70;;;50;66,66666667;;100;;;;100;;79,165;100;75;99,675;48;96,5;0,618;0,273;0,034;0,4592;;;;
168;25,56857143;16,13;26,028;83,33333333;;;;100;50;;;;;100;;;;100;99,89357143;50,9;98,5;0,609;0,225;0,0322;0,505;;;;
169;;;;;;;;100;100;;;;;;;;;;97,63181818;58,2;96,2;0,572;0,047;0,0381;0,5333;;;;
170;12,46636364;6,97;9,960909091;73,334;;;;79,1675;38,88666667;100;;;;;100;83,333;33,33;90;99,74714286;46,3;97,8;0,682;0,855;"3,37  
";0,5184;;;;
171;48,76066667;2,877142857;26,89333333;24,198;1,93;2,6125;2,285;65,28866667;8,950714286;52,85714286;;33,33;;70,2775;51,11;64,83533333;21,289;46,60466667;87,80642857;44,6;96,3;0,627;0,211;0,0357;0,476;;;;
172;43,05;21,33;28,63666667;75;;;;60;37,5;100;;;;;;80;;100;97,85928571;50,1;98,8;0,627;0,91;0,0362;0,5973;;;;
173;24,75833333;17,82;22,8475;100;;;;83,33333333;50;;;;;;100;83,33333333;;75;99,85785714;60,4;94,5;0,535;0,051;0,0377;0,5484;;;;
174;26,05833333;13,295;23,2;69,44333333;50;;100;75;33,33;100;;;;;;87,5;;61,11;97,54785714;50,9;96,2;0,594;0,13;0,0362;0,4896;;;;
175;;;;75;;;;100;50;;;;;;;;;50;99,86692308;48,6;99,1;0,6;0,089;0,0331;0,4681;;;;
176;;;;83,33333333;;;;90;100;;;;;;;100;100;100;99,66285714;49,4;97,8;0,606;0,378;0,0345;0,4655;;;;
177;24,32466667;4,455;18,91428571;42,58636364;;16,67;;54,96785714;20,76142857;87,5;;;;50;;92,18071429;83,33333333;33,64875;96,32285714;48,9;95,3;0,58;0,57;0,0365;0,4802;;;;
178;50,1925;41,73;41,8575;100;;;;;100;;;;;100;;100;100;50;99,39071429;51,7;94;0,548;0,254;0,0344;0,457;;;;
179;;;;;;;;;;;;;;;;100;;;99,68333333;43,1;97,3;0,589;0,335;0,0338;0,4803;;;;
180;57,42714286;28,38;39,07333333;86,666;;;;83,335;;;;;;100;;50;;100;98,19153846;51,6;96,9;0,58;0,142;0,0334;0,4525;;;;
181;22,20;22,14;22,23;100,00;;;100,00;100,00;;100,00;;;;100,00;;100,00;;100,00;99,93;46,4;98,3;0,622;55,90%;3,30%;0,5335;;;;
182;16,31;5,49;9,17;56,67;;;;61,88;32,50;;;;;100,00;;88,33;;36,11;99,62;51,5;98,7;0,608;32,20%;3,38%;0,5327;;;;
183;22,415;22,27;22,56;;;;;100;;;;;;100;;;;100;92,90142857;53,4;96,1;0,552;0,256;0,0304;0,5166;;;;
184;;;;75;100;;;75;50;;;;;;;92,85714286;;80;95,27642857;53;93,5;0,53;0,192;"3,40  
";0,4949;;;;
185;;;;100;;;;100;100;;;;;;;88,88666667;;100;99,77357143;49,9;97,2;0,565;0,007;"4,09  
";0,4469;;;;
186;28,08;20,31;24,00285714;88,09571429;;;;61,11;;;;;;;;87,5;;100;99,79357143;49,2;96,3;0,577;0,302;"3,64  
";0,4501;;;;
187;19,93214286;8,205;10,60545455;64,82727273;25;;;47,91625;38,3925;90;;;;100;50;84,999;;47,332;97,18428571;48,8;97,5;0,591;0,479;0,0355;0,5023;;;;
188;25,58;20,84;20,36;100;;;;100;;;;;;100;;100;;;95,85714286;53,2;96,3;0,565;0,01;0,0382;0,4548;;;;
189;100;;;;;;;;;;;;;;;100;100;;99,59692308;50,4;96,5;0,578;0,73;"3,67  
";0,4846;;;;
190;;;;;;;;;;;;;;;;200;;;99,73642857;51,3;97,9;0,581;0,963;"3,97  
";0,465;;;;
191;36,525;24,83;24,335;100;;;;;;;;;;100;;100;;100;98,98642857;44,7;98,7;0,617;0,834;0,0352;0,4348;;;;
192;25,835;25,915;25,835;;;;;100;;;;;;100;;100;;;98,435;51,7;98,5;95,9;0,51;0,0316;0,4903;;;;
193;;;;44,44333333;;;;81,48111111;66,665;;;;;;;92,85714286;;76,19;96,91071429;54,5;98,1;0,541;0,047;0,036;3,3;;;;
194;23,18818182;12,71;19,211;83,334;;;;76,38833333;25;100;;;;;;89,5825;;78,57142857;99,01285714;43,9;99;0,641;0,728;0,033;0,5267;;;;
195;36,69083333;14,41333333;24,79272727;73,334;;;;81,48111111;;;;;;100;;82,40666667;;74,99833333;99,74071429;54,4;97,4;0,548;0,326;0,0376;0,4897;;;;
196;19,55583333;9,2775;15,67666667;82,666;33,33;;;81,42857143;61,11;100;;;;100;;92,7075;;83,33333333;96,87857143;49,2;98,4;91,4;0,304;0,0353;0,4873;;;;
197;48,23;34,19;67,4;;;;;100;;;;;;100;;100;;100;99,59076923;50;96,4;96,9;0,339;0,0309;0,4681;;;;
198;36,38733333;4,274545455;21,884;23,45066667;8,335;;;69,69266667;10,775;43,75;;;;87,5;50;51,51866667;49,998;50,91923077;99,27571429;51;95,9;0,569;0,277;"3,56  
";0,5176;;;;
199;13,12666667;10,28666667;13,95666667;100;;;;100;100;;;;;100;;100;;;96;53,9;97,2;0,555;0,026;0,0389;0,481;;;;
200;22,532;10,72333333;15,62083333;58,19333333;;;;63,14888889;33,33;;;;;100;100;81,665;75;39,44333333;99,65214286;47,7;98,2;0,628;0,243;"3,15  
";0,4863;;;;
201;;;;;;;;100;100;;;;;;;100;;100;99,81785714;50;99,6;0,626;0,097;0,0357;0,4996;;;;
202;;;;;;;;100;;;;;;;;66,66666667;;;99,76;54,6;95,7;0,586;0,32;"3,46  
";0,4792;;;;
203;22,91777778;13,4375;20,59875;77,77666667;;;;83,335;83,3325;100;;;;;100;96,42857143;;62,5;99,91;49,9;97;0,57;0,295;0,0321;0,4902;;;;
204;;;;87,5;;;;87,5;100;;;;;;;87,5;;90;99,70571429;53,8;96,3;0,547;0,273;"3,62  
";0,5151;;;;
205;;;;70,8325;50;66,665;;70,8325;75;;;;;;;100;;83,3325;99,08571429;48,2;97,8;0,621;0,537;0,0341;0,4742;;;;
206;25,74083333;13,225;18,37;75;50;;;87,5;;;;;;100;;100;;85;99,60142857;55,1;98;0,573;0,015;"3,62  
";0,4921;;;;
207;12,54;4,518;8,927272727;52,38125;;;;73,4125;;100;;;;100;;100;;55,19272727;87,60214286;50,4;97,4;0,595;0,203;0,0347;0,5773;;;;
208;16,65076923;8,01;13,05272727;65,47714286;;50;;64,166;50;100;;;;100;;95,23714286;66,66666667;37,4975;99,6;32,2;96,3;0,731;0,704;"3,48  
";0,5216;;;;
209;190,69;36,98;114,41;100;;;;100;;;;;;;;33,33;;;99,50230769;52,8;100;0,573;0,29;0,0344;0,4987;;;;
210;39,32733333;3,635384615;21,05866667;43,77692308;6,5675;3,45;3,03;39,94;19,91666667;50,41625;;;;71,48222222;50,666;70,43466667;39,5825;32,84428571;97,25642857;44;97,6;0,668;0,664;"3,49  
";0,5475;;;;
211;34,09;8,125;27,45357143;37,38;16,67;;;67,26538462;32,6375;;;;;100;;85,56916667;71,42666667;55,38111111;99,67642857;47,6;97,5;0,627;0,242;0,0301;0,5055;;;;
212;22,01875;11,28;23,122;52,77666667;;100;;90,27833333;;;;;;100;;85,415;50;72,22;99,52642857;56,6;97;0,551;0,117;"3,97  
";0,4933;;;;
213;20,27466667;6,976666667;18,47785714;67,61857143;;;;74,1675;34,165;100;;;;100;;87,57454545;100;52,37833333;96,90785714;50,1;96,8;0,578;0,553;0,0351;0,4917;;;;
214;;;;100;;;;100;100;;;;;;;100;;83,33333333;81,65428571;51,5;98,3;0,586;0,253;"3,71  
";0,5317;;;;
215;13,535;10,66333333;12,124;83,33333333;;;;92,85714286;;;;;;100;;87,5;;41,66666667;99,95285714;51,4;97,3;0,605;0,32;0,0352;0,5611;;;;
216;102,2233333;39,76;116,026;72,725;;;;86,3625;9,09;100;;;;;;88,635;;77,2725;99,65857143;49,9;95,7;0,581;0,023;"3,68  
";0,4288;;;;
217;33,35;10,72666667;26,13615385;72,85714286;;;;61,25;;100;;;;100;;80,76923077;;51,11;99,845;49,6;98,8;0,609;0,224;0,036;0,4869;;;;
218;21,03538462;7,042;16,39272727;65,71428571;;;;65,47571429;36,334;100;;;;100;100;91,85111111;100;44,44333333;99,65928571;47,8;97,8;0,636;0,575;0,0342;0,5482;;;;
219;21,76375;14,93;21,982;62,5;100;50;;75;100;66,66666667;;;;66,66666667;;93,33333333;;55,55333333;99,64615385;54,1;99,4;0,584;0,298;0,0355;0,5487;;;;
220;;;;100;;;;;100;;;;;100;;;;;99,46;35,7;99,5;0,707;0,687;0,0315;0,4078;;;;
221;41,738;50,105;31,0975;66;;;;75;20;75;;;;25;;83,3325;;100;97,80142857;53,1;98,6;0,571;0,019;"3,56  
";0,4526;;;;
222;36,572;31,85;41,41;100;;;;100;;100;;;;;;75;;100;99,06;50,8;92,9;0,566;0,351;"3,80  
";0,4755;;;;
223;65,62;50,745;47,59;100;;;;100;;100;;;;;;;;100;99,92923077;48,8;97,3;0,623;0,513;0,0308;0,4361;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
